ID,Email,Stock,Quantity,Price,Intention,Status,Date
707,wjxylXgKXW@gmail.com,TSLA,5,539,BUY,AVAILABLE,2022-01-01
304,QtnDcjUo14@gmail.com,TSLA,55,565,BUY,PARTIALLY FILLED,2022-01-11
671,huS58GC1IS@gmail.com,TSLA,36,589,SELL,AVAILABLE,2022-01-13
620,F2L5JQMdQ0@gmail.com,TSLA,60,983,SELL,PARTIALLY FILLED,2022-01-14
421,HkFchAO17m@gmail.com,TSLA,63,724,SELL,PARTIALLY FILLED,2022-01-08
759,oFJRkfzr0L@gmail.com,TSLA,27,556,SELL,PARTIALLY FILLED,2022-01-20
367,T0Iw7w6gLU@gmail.com,TSLA,33,834,BUY,PARTIALLY FILLED,2022-01-01
988,9fADEgSa3l@gmail.com,TSLA,97,940,SELL,AVAILABLE,2022-01-01
199,PJKhqg5VEC@gmail.com,TSLA,73,744,SELL,FULLY FILLED,2022-01-30
253,4GlqNbRFS5@gmail.com,TSLA,57,826,SELL,PARTIALLY FILLED,2022-01-09
235,m5VZRcyZK7@gmail.com,TSLA,5,775,BUY,PARTIALLY FILLED,2022-01-28
614,krANYGF7Gt@gmail.com,TSLA,55,581,SELL,FULLY FILLED,2022-01-14
427,YzYkd1bNSs@gmail.com,TSLA,13,539,BUY,PARTIALLY FILLED,2022-01-04
492,6JLGfFGDLs@gmail.com,TSLA,25,717,BUY,AVAILABLE,2022-01-23
862,nrEaoWoJis@gmail.com,TSLA,51,884,BUY,FULLY FILLED,2022-01-03
448,IrCuDhC0xt@gmail.com,TSLA,37,728,BUY,PARTIALLY FILLED,2022-01-27
203,29xLcnQsTe@gmail.com,TSLA,64,574,BUY,AVAILABLE,2022-01-06
299,c82AXCyrkt@gmail.com,TSLA,43,874,SELL,FULLY FILLED,2022-01-23
213,EWHrF50RHo@gmail.com,TSLA,99,593,SELL,AVAILABLE,2022-01-18
754,82s4iCz8TM@gmail.com,TSLA,86,763,SELL,FULLY FILLED,2022-01-20
773,G59Uv3lVMv@gmail.com,TSLA,3,509,SELL,PARTIALLY FILLED,2022-01-09
626,5PGcZJQzfD@gmail.com,TSLA,49,700,BUY,AVAILABLE,2022-01-30
608,YDCnJyXf1p@gmail.com,TSLA,67,604,SELL,AVAILABLE,2022-01-29
355,BaCNiH4Mcv@gmail.com,TSLA,64,912,BUY,PARTIALLY FILLED,2022-01-07
131,23L3wVdSi6@gmail.com,TSLA,46,786,SELL,PARTIALLY FILLED,2022-01-23
127,0jaJDC6Pg4@gmail.com,TSLA,46,743,SELL,FULLY FILLED,2022-01-20
207,5kcSJUu110@gmail.com,TSLA,78,956,BUY,PARTIALLY FILLED,2022-01-28
571,6JLGfFGDLs@gmail.com,TSLA,85,856,SELL,PARTIALLY FILLED,2022-01-01
236,krANYGF7Gt@gmail.com,TSLA,56,688,BUY,PARTIALLY FILLED,2022-01-26
616,7kuOm1lsqn@gmail.com,TSLA,69,741,SELL,PARTIALLY FILLED,2022-01-29
