ID,Email,Stock,Quantity,Price,Intention,Status,Date
595,ncIbndhju6@gmail.com,NFLX,75,651,SELL,AVAILABLE,2022-01-25
52,CAq3XmtLKb@gmail.com,JNJ,7,570,BUY,AVAILABLE,2022-01-21
440,Ikbk4aop8Y@gmail.com,AZN,74,892,BUY,PARTIALLY FILLED,2022-01-13
67,dCycrDR07d@gmail.com,BABA,92,910,BUY,AVAILABLE,2022-01-08
309,oYvI43o3CR@gmail.com,AAPL,44,840,BUY,PARTIALLY FILLED,2022-01-08
809,S3KN6sgXK0@gmail.com,JNJ,51,574,SELL,FULLY FILLED,2022-01-21
201,UZatPr0RcP@gmail.com,GOOG,34,650,SELL,PARTIALLY FILLED,2022-01-04
359,KAQMrGitz0@gmail.com,FB,48,998,BUY,FULLY FILLED,2022-01-08
159,3nU7eMWvmp@gmail.com,NVDA,87,744,SELL,AVAILABLE,2022-01-10
13,0K3CoZil3h@gmail.com,MSFT,70,607,BUY,AVAILABLE,2022-01-29
3,ckZA5pGHr4@gmail.com,TSLA,62,579,SELL,FULLY FILLED,2022-01-15
180,GfZxuN775N@gmail.com,NVDA,5,755,SELL,AVAILABLE,2022-01-21
826,dJSQx6zpX8@gmail.com,MSFT,56,959,BUY,FULLY FILLED,2022-01-25
581,lWxV48TCJb@gmail.com,AMZN,19,792,SELL,AVAILABLE,2022-01-17
268,8K45wUAJl2@gmail.com,AZN,79,666,SELL,AVAILABLE,2022-01-31
101,8p6WNkhAoL@gmail.com,AMZN,40,939,BUY,AVAILABLE,2022-01-02
382,F9KFD7Ybb2@gmail.com,PFE,50,638,SELL,PARTIALLY FILLED,2022-01-08
943,8p6WNkhAoL@gmail.com,TSM,58,725,BUY,PARTIALLY FILLED,2022-01-23
791,bneuBUK9oD@gmail.com,AZN,64,839,BUY,AVAILABLE,2022-01-25
437,mark@gmail.com,MA,73,559,BUY,PARTIALLY FILLED,2022-01-06
920,A5eDR31U9t@gmail.com,JPM,94,898,SELL,PARTIALLY FILLED,2022-01-20
664,URapQ5QjFb@gmail.com,BAC,26,972,BUY,PARTIALLY FILLED,2022-01-19
994,VSnhYxp7RE@gmail.com,FB,63,858,BUY,PARTIALLY FILLED,2022-01-07
860,ffXQqC1Xgr@gmail.com,NFLX,11,841,BUY,FULLY FILLED,2022-01-21
812,LaeAFajOhn@gmail.com,INTC,73,905,BUY,PARTIALLY FILLED,2022-01-02
851,QYqoTmfNxX@gmail.com,BAC,78,654,SELL,FULLY FILLED,2022-01-21
486,GvrzF6ct70@gmail.com,PFE,36,920,SELL,AVAILABLE,2022-01-17
891,SkxRoWTnNs@gmail.com,JNJ,7,895,BUY,PARTIALLY FILLED,2022-01-26
35,rocmMAMAuZ@gmail.com,MA,8,664,SELL,PARTIALLY FILLED,2022-01-18
464,GVoRPsGjQJ@gmail.com,ADBE,23,856,SELL,PARTIALLY FILLED,2022-01-10
817,Y66l7M8EEN@gmail.com,COST,9,976,SELL,AVAILABLE,2022-01-06
691,SH99wGIn60@gmail.com,JNJ,32,876,BUY,AVAILABLE,2022-01-14
734,2rcM7PrreM@gmail.com,MSFT,33,681,BUY,FULLY FILLED,2022-01-16
36,OcLnsrq1e5@gmail.com,AMZN,11,596,BUY,FULLY FILLED,2022-01-29
583,NVjdQPlHdj@gmail.com,NKE,31,918,SELL,AVAILABLE,2022-01-28
605,zwDCpzlsoA@gmail.com,NFLX,45,641,SELL,AVAILABLE,2022-01-29
375,A9Cpwmrhpj@gmail.com,AAPL,49,521,BUY,AVAILABLE,2022-01-23
990,V36w08fYHn@gmail.com,AMZN,7,516,BUY,FULLY FILLED,2022-01-17
322,RW6yquMcmi@gmail.com,HSBC,10,685,BUY,FULLY FILLED,2022-01-24
287,r92kAXFFrz@gmail.com,ORCL,83,675,SELL,PARTIALLY FILLED,2022-01-24
456,KhIqYHhBCm@gmail.com,UNH,98,633,SELL,AVAILABLE,2022-01-12
308,fDe0kgCG6J@gmail.com,HSBC,89,903,BUY,PARTIALLY FILLED,2022-01-28
168,UrBE1yjEeG@gmail.com,UPS,3,749,SELL,PARTIALLY FILLED,2022-01-27
669,7NkVR6OncC@gmail.com,JNJ,14,807,SELL,AVAILABLE,2022-01-01
45,AvYYN5ST7N@gmail.com,UPS,72,681,SELL,PARTIALLY FILLED,2022-01-15
97,YgdSI3QMs4@gmail.com,HSBC,84,798,SELL,PARTIALLY FILLED,2022-01-23
638,hJKYUE0S96@gmail.com,KO,38,775,SELL,AVAILABLE,2022-01-22
209,5slh738Sgc@gmail.com,BAC,81,506,SELL,FULLY FILLED,2022-01-29
876,Y2lhSdM0RM@gmail.com,BAC,2,886,BUY,PARTIALLY FILLED,2022-01-01
18,oKbBrnThkv@gmail.com,NFLX,41,691,SELL,FULLY FILLED,2022-01-21
332,NomfYjobkb@gmail.com,NKE,49,520,BUY,FULLY FILLED,2022-01-19
418,OsNUhOsVbi@gmail.com,MA,91,817,SELL,PARTIALLY FILLED,2022-01-20
516,JL85OYtf1d@gmail.com,AAPL,5,847,BUY,PARTIALLY FILLED,2022-01-26
416,GvrzF6ct70@gmail.com,TM,54,832,SELL,AVAILABLE,2022-01-01
576,SbWUlyUr4d@gmail.com,NKE,26,545,SELL,PARTIALLY FILLED,2022-01-11
119,b2pUJWamtf@gmail.com,NVDA,53,599,BUY,PARTIALLY FILLED,2022-01-24
105,HubmgNOY0x@gmail.com,ORCL,61,820,BUY,FULLY FILLED,2022-01-25
16,bs6Tx1e5EY@gmail.com,BABA,61,664,SELL,PARTIALLY FILLED,2022-01-25
256,Y66l7M8EEN@gmail.com,AZN,83,824,SELL,PARTIALLY FILLED,2022-01-13
81,Vxots7ta9L@gmail.com,JPM,77,524,SELL,AVAILABLE,2022-01-20
337,zkK9NRDHdy@gmail.com,HSBC,16,853,BUY,FULLY FILLED,2022-01-24
918,lt3irN5cVh@gmail.com,NVDA,32,919,SELL,AVAILABLE,2022-01-24
607,GzZBjikyNu@gmail.com,KO,21,830,BUY,PARTIALLY FILLED,2022-01-24
314,qEwmPN1oUP@gmail.com,ORCL,1,727,SELL,PARTIALLY FILLED,2022-01-27
702,7D2biWaavM@gmail.com,GOOG,21,605,SELL,PARTIALLY FILLED,2022-01-28
40,X7WTzMrROp@gmail.com,JPM,40,516,BUY,PARTIALLY FILLED,2022-01-13
365,LHIwurGelI@gmail.com,KO,47,850,BUY,FULLY FILLED,2022-01-08
303,SKnUyNDmaf@gmail.com,INTC,20,521,SELL,FULLY FILLED,2022-01-12
907,aChLTh1hYJ@gmail.com,PYPL,17,543,BUY,FULLY FILLED,2022-01-04
282,JoGznqDlyp@gmail.com,BAC,67,617,BUY,AVAILABLE,2022-01-26
